asin,title,rating,number_of_reviews,price,page,source
B0CFSD4TSQ,WH-1000XM5 Noise Canceling Wireless Headphones - 30hr Battery Life - Over-Ear Style - Optimized for Alexa and Google Assistant - Built-in mic for Calls - Black - International Version No Warranty,4.3,1000.0,240.97,3,Amazon
B0DLKB5V35,"Anker Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio, Deep Bass, Foam Ear Cups, Travel, Office, USB-C Charging",4.5,6900.0,44.98,3,Amazon
B0C9NM6SVD,WHCH720N Wireless Over THE Ear Noise CANCELING Headphones Bundle - Black,4.8,13.0,98.0,3,Amazon
B0B2FCT81R,Sony WH-1000XM5/B Wireless Industry Leading Noise Canceling Bluetooth Headphones (Renewed),4.3,1200.0,207.97,3,Amazon
B0FD2MJQC9,ULT WEAR Wireless Noise Cancelling Over-Ear Headphones (Black) Bundle with Clip-On White and Red Light (2 Items),,,148.0,3,Amazon
B0BTDT8V59,WH-CH720NL Noise Canceling Wireless Bluetooth Headphones - Built-in Microphone - up to 35 Hours Battery Life and Quick Charge - Navy Blue,4.5,14300.0,,3,Amazon
B0BTJD6LCL,WH-CH520 Compact Easy Carrying Wireless Bluetooth On-Ear Headphones with Microphone (Black),4.5,21100.0,,3,Amazon
B0CTBCDD6D,"Tune 720BT - Wireless Over-Ear Headphones with JBL Pure Bass Sound, Bluetooth 5.3, Up to 76H Battery Life and Speed Charge, Lightweight, Comfortable and Foldable Design (Black)",4.6,12700.0,59.95,3,Amazon
B08HDKHSSN,Sony WH-1000XM4 Wireless Noise Canceling Overhead Headphones - Black (Renewed),4.5,1400.0,223.95,3,Amazon
B0GLN8R9D7,"Bluetooth Headphones with Active Noise Cancelling (ANC), Wireless Over Ear Bluetooth Headsets with 35H Playtime, HiFi Stereo Foldable Headphones with Foam Ear Cups for Sports, Travel, Black",4.5,18.0,16.99,3,Amazon
B08GM9NKS2,Sony WH-CH710N/B Wireless Bluetooth Noise Cancelling Headphones (Renewed),4.3,948.0,77.6,3,Amazon
B0GGB4TNC2,"Hybrid Active Noise Cancelling Headphones, Wireless Bluetooth 6.0 Over-Ear Headphones, 70H Playtime with Fast Charging, Hi-Res Audio, Transparency Mode, Deep Bass, Comfort Fit for Travel Office Home",4.8,32.0,39.98,3,Amazon
B0F2TT8Q7M,"WH-1000XM6 Flagship Noise Cancelling Over-Ear Wireless Bluetooth Headphones, Signature High-Definition Sound, Superior Comfort, Foldable Design, Durable Case, 30 HR Battery, iOS and Android",4.2,747.0,399.0,3,Amazon
B01K5CTWPG,ZX110NC Noise Cancelling Headphones - International Version (No Warranty),4.3,1000.0,34.0,3,Amazon
B0GJS13F3T,"Hybrid Active Noise Cancelling Headphones 120H Long Playtime, 6 ENC Mic, Wireless Over-Ear Bluetooth 6.0 Headphones,Hi-Res Audio, Memory Foam Earcup, Transparency Mode ANC Headphone for Travel Office",4.3,41.0,69.99,3,Amazon
B0CLBK284G,Sony WH-CH720N Noise Canceling Wireless Bluetooth Headphones - Built-in Microphone - up to 35 Hours Battery Life and Quick Charge - White (Renewed),4.5,15.0,84.55,4,Amazon
B0GKDKCRBY,"Active Noise Cancelling Headphones,120H Playtime Bluetooth 6.0 Over Ear Headphones with Hi-Res Audio & 5-Mic ENC Calls, 360° Surround Sound Wireless Headphones Foldable Headset for Travel Office Game",5.0,4.0,89.98,4,Amazon
B0G9L2TNYZ,"Hybrid Active Noise Cancelling Headphones, Over Ear Bluetooth 6.0 Wireless Headphones, 50H Playtime, Deep Bass, HiFi Stereo Sound, Lightweight Foldable for Travel, Home and Office(Black)",4.8,218.0,39.98,4,Amazon
B09WCWQD4D,"H8506 Over-Ear Wireless Headphones with Noise Canceling Pro (ANC) and Multipoint Bluetooth Connection, 60 Hours Playtime, (TAH8506BK/00),Black",4.4,290.0,,4,Amazon
B09Y2MYL5C,Noise Canceling Wireless Headphones - 30hr Battery Life - Over-Ear Style - Optimized for Alexa and Google Assistant - Built-in mic for Calls - WH-1000XM5B.CE7 - Limited Edition - Charcoal Black,4.4,10100.0,278.0,4,Amazon
